"semana","SKU","Descripcion","Familia","Codigo_familia","Subfamilia","Unidad_medida","clasificacion_ABC","nivel_servicio_objetivo","lambda_sku","costo_unitario","margen_bruto","precio_venta","factor_estacional","demanda_semanal","inventario_inicial","unidades_recibidas","ventas","demanda_insatisfecha","quiebre_stock","devoluciones","inventario_final","posicion_inventario","punto_reorden","stock_seguridad","pedido_realizado","cantidad_pedida","lead_time_pedido","valor_inventario_final","costo_mantener_sem","costo_faltante_sem","costo_ordenar_sem"
20,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.8305,15,83,0,15,0,0,0,68,68,75.41,42.1,1,24,2.445,4764630.82,22906.88,0,30000
21,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.7912,21,68,0,21,0,0,0,47,70,75.41,42.1,1,22,3.775,3293200.71,15832.7,0,30000
22,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.7754,21,47,23,21,0,0,0,49,70,75.41,42.1,1,22,3.911,3433336.92,16506.43,0,30000
23,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.8571,11,49,0,11,0,0,0,38,80,75.41,42.1,0,0,NA,2662587.81,12800.9,0,0
24,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.8167,22,38,0,22,0,0,0,16,58,75.41,42.1,1,34,1.492,1121089.6,5389.85,0,30000
25,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.9222,39,16,54,39,0,0,2,31,52,75.41,42.1,1,40,1.628,2172111.11,10442.84,0,30000
26,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.9546,23,31,23,23,0,0,0,31,69,75.41,42.1,1,23,1.727,2172111.11,10442.84,0,30000
27,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.9414,14,31,38,14,0,0,0,55,78,75.41,42.1,0,0,NA,3853745.52,18527.62,0,0
28,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.8967,21,55,23,21,0,0,0,57,57,75.41,42.1,1,35,3.138,3993881.72,19201.35,0,30000
29,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.9016,16,57,0,16,0,0,0,41,75,75.41,42.1,1,17,3.351,2872792.11,13811.5,0,30000
30,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,0.9705,11,41,0,11,0,0,1,30,79,75.41,42.1,0,0,NA,2102043.01,10105.98,0,0
31,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.0296,29,30,35,29,0,0,0,36,51,75.41,42.1,1,41,1.871,2522451.61,12127.17,0,30000
32,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.0321,12,36,15,12,0,0,0,39,77,75.41,42.1,0,0,NA,2732655.91,13137.77,0,0
33,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.0709,9,39,38,9,0,0,1,68,68,75.41,42.1,1,24,1.349,4764630.82,22906.88,0,30000
34,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.0108,20,68,23,20,0,0,1,71,71,75.41,42.1,1,21,1.806,4974835.12,23917.48,0,30000
35,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.0518,12,71,1,12,0,0,0,60,81,75.41,42.1,0,0,NA,4204086.02,20211.95,0,0
36,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.1432,19,60,21,19,0,0,0,62,62,75.41,42.1,1,30,1.586,4344222.22,20885.68,0,30000
37,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.2659,14,62,0,14,0,0,0,48,77,75.41,42.1,0,0,NA,3363268.81,16169.56,0,0
38,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.1075,15,48,29,15,0,0,1,62,62,75.41,42.1,1,30,1.758,4344222.22,20885.68,0,30000
39,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.1713,13,62,1,13,0,0,0,50,78,75.41,42.1,0,0,NA,3503405.02,16843.29,0,0
40,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.1748,16,50,28,16,0,0,0,62,62,75.41,42.1,1,30,1.053,4344222.22,20885.68,0,30000
41,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.3096,23,62,29,23,0,0,3,68,68,75.41,42.1,1,24,1.486,4764630.82,22906.88,0,30000
42,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.0901,9,68,26,9,0,0,2,85,85,75.41,42.1,0,0,NA,5955788.53,28633.6,0,0
43,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.1163,6,85,2,6,0,0,0,81,81,75.41,42.1,0,0,NA,5675516.13,27286.14,0,0
44,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.2575,11,81,0,11,0,0,0,70,70,75.41,42.1,1,22,1.168,4904767.02,23580.61,0,30000
45,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.2563,38,70,22,38,0,0,0,54,54,75.41,42.1,1,38,2.101,3783677.42,18190.76,0,30000
46,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.097,14,54,0,14,0,0,0,40,76,75.41,42.1,0,0,NA,2802724.01,13474.63,0,0
47,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.1844,10,40,36,10,0,0,0,66,66,75.41,42.1,1,26,2.731,4624494.62,22233.15,0,30000
48,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.0473,22,66,0,22,0,0,1,44,69,75.41,42.1,1,23,3.714,3082996.41,14822.1,0,30000
49,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.1245,26,44,1,26,0,0,0,19,66,75.41,42.1,1,26,1.403,1331293.91,6400.45,0,30000
50,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.1655,23,19,50,23,0,0,1,46,68,75.41,42.1,1,24,0.814,3223132.61,15495.83,0,30000
51,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.2375,16,46,24,16,0,0,1,54,76,75.41,42.1,0,0,NA,3783677.42,18190.76,0,0
52,"EPP-FAC-001","Careta para Esmerilar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,16.6568,70068.1,0.3418,106455.5,1.2318,20,54,23,20,0,0,1,57,57,75.41,42.1,1,35,4.646,3993881.72,19201.35,0,30000
1,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1099,5,47,0,5,0,0,0,42,42,38.79,22.02,0,0,NA,7563553.5,36363.24,0,0
2,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.0702,8,42,0,8,0,0,0,34,34,38.79,22.02,1,13,2.199,6122876.64,29436.91,0,30000
3,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.0815,18,34,0,18,0,0,0,16,29,38.79,22.02,1,18,1.027,2881353.71,13852.66,0,30000
4,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9891,5,16,30,5,0,0,0,41,41,38.79,22.02,0,0,NA,7383468.89,35497.45,0,0
5,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9425,4,41,0,4,0,0,0,37,37,38.79,22.02,1,10,1.904,6663130.46,32034.28,0,30000
6,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9616,11,37,0,11,0,0,0,26,36,38.79,22.02,1,11,1.976,4682199.78,22510.58,0,30000
7,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8933,8,26,10,8,0,0,0,28,39,38.79,22.02,0,0,NA,5042369,24242.16,0,0
8,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9506,10,28,11,10,0,0,0,29,29,38.79,22.02,1,18,1.214,5222453.61,25107.95,0,30000
9,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.907,3,29,16,3,0,0,0,42,42,38.79,22.02,0,0,NA,7563553.5,36363.24,0,0
10,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.7904,7,42,0,7,0,0,0,35,35,38.79,22.02,1,12,1.767,6302961.25,30302.7,0,30000
11,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9133,4,35,0,4,0,0,0,31,42,38.79,22.02,0,0,NA,5582622.82,26839.53,0,0
12,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8296,0,31,11,0,0,0,0,42,42,38.79,22.02,0,0,NA,7563553.5,36363.24,0,0
13,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.7995,11,42,0,11,0,0,0,31,31,38.79,22.02,1,16,2.411,5582622.82,26839.53,0,30000
14,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8238,5,31,0,5,0,0,0,26,41,38.79,22.02,0,0,NA,4682199.78,22510.58,0,0
15,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9249,8,26,15,8,0,0,0,33,33,38.79,22.02,1,14,0.976,5942792.03,28571.12,0,30000
16,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8743,3,33,14,3,0,0,0,44,44,38.79,22.02,0,0,NA,7923722.71,38094.82,0,0
17,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8606,4,44,0,4,0,0,0,40,40,38.79,22.02,0,0,NA,7203384.28,34631.66,0,0
18,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8307,7,40,0,7,0,0,0,33,33,38.79,22.02,1,14,1.536,5942792.03,28571.12,0,30000
19,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8109,8,33,0,8,0,0,0,25,39,38.79,22.02,0,0,NA,4502115.18,21644.78,0,0
20,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.7697,8,25,14,8,0,0,0,31,31,38.79,22.02,1,16,2.457,5582622.82,26839.53,0,30000
21,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8191,7,31,0,7,0,0,0,24,40,38.79,22.02,0,0,NA,4322030.57,20778.99,0,0
22,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8404,2,24,16,2,0,0,0,38,38,38.79,22.02,1,9,1.467,6843215.07,32900.07,0,30000
23,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8843,18,38,9,18,0,0,0,29,29,38.79,22.02,1,18,2.01,5222453.61,25107.95,0,30000
24,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8824,10,29,0,10,0,0,1,19,37,38.79,22.02,1,10,1.441,3421607.54,16450.04,0,30000
25,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8422,7,19,29,7,0,0,0,41,41,38.79,22.02,0,0,NA,7383468.89,35497.45,0,0
26,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8746,13,41,0,13,0,0,0,28,28,38.79,22.02,1,19,2.744,5042369,24242.16,0,30000
27,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9526,9,28,0,9,0,0,0,19,37,38.79,22.02,1,10,1.439,3421607.54,16450.04,0,30000
28,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.8032,5,19,9,5,0,0,0,23,41,38.79,22.02,0,0,NA,4141945.96,19913.2,0,0
29,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9855,8,23,18,8,0,0,0,33,33,38.79,22.02,1,14,2.745,5942792.03,28571.12,0,30000
30,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.0286,9,33,0,9,0,0,0,24,38,38.79,22.02,1,9,0.408,4322030.57,20778.99,0,30000
31,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1242,11,24,8,11,0,0,1,21,35,38.79,22.02,1,12,1.788,3781776.75,18181.62,0,30000
32,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,0.9877,10,21,15,10,0,0,0,26,38,38.79,22.02,1,9,1.45,4682199.78,22510.58,0,30000
33,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.0048,7,26,20,7,0,0,0,39,39,38.79,22.02,0,0,NA,7023299.68,33765.86,0,0
34,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.0722,1,39,0,1,0,0,0,38,38,38.79,22.02,1,9,2.221,6843215.07,32900.07,0,30000
35,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.0901,4,38,0,4,0,0,0,34,42,38.79,22.02,0,0,NA,6122876.64,29436.91,0,0
36,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1669,9,34,8,9,0,0,0,33,33,38.79,22.02,1,14,3.115,5942792.03,28571.12,0,30000
37,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1932,4,33,0,4,0,0,0,29,42,38.79,22.02,0,0,NA,5222453.61,25107.95,0,0
38,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1434,3,29,0,3,0,0,0,26,39,38.79,22.02,0,0,NA,4682199.78,22510.58,0,0
39,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.2025,9,26,13,9,0,0,0,30,30,38.79,22.02,1,17,1.259,5402538.21,25973.74,0,30000
40,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1182,1,30,16,1,0,0,0,45,45,38.79,22.02,0,0,NA,8103807.32,38960.61,0,0
41,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1765,5,45,0,5,0,0,0,40,40,38.79,22.02,0,0,NA,7203384.28,34631.66,0,0
42,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.2098,17,40,0,17,0,0,0,23,23,38.79,22.02,1,24,1.724,4141945.96,19913.2,0,30000
43,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.2781,16,23,0,16,0,0,0,7,29,38.79,22.02,1,18,3.743,1260592.25,6060.54,0,30000
44,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.2641,4,7,22,4,0,0,0,25,42,38.79,22.02,0,0,NA,4502115.18,21644.78,0,0
45,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1423,3,25,0,3,0,0,0,22,39,38.79,22.02,0,0,NA,3961861.36,19047.41,0,0
46,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1224,1,22,0,1,0,0,0,21,38,38.79,22.02,1,9,4.075,3781776.75,18181.62,0,30000
47,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.222,5,21,17,5,0,0,0,33,41,38.79,22.02,0,0,NA,5942792.03,28571.12,0,0
48,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1784,17,33,0,17,0,0,0,16,24,38.79,22.02,1,23,2.607,2881353.71,13852.66,0,30000
49,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1403,8,16,0,8,0,0,0,8,38,38.79,22.02,1,9,2.035,1440676.86,6926.33,0,30000
50,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1476,11,8,8,11,0,0,0,5,35,38.79,22.02,1,12,2.235,900423.04,4328.96,0,30000
51,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.0546,12,5,30,12,0,0,0,23,34,38.79,22.02,1,13,1.263,4141945.96,19913.2,0,30000
52,"EPP-FAC-002","Careta para Soldadura Manual","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.3899,180084.61,0.4348,318598.57,1.1156,5,23,24,5,0,0,0,42,42,38.79,22.02,0,0,NA,7563553.5,36363.24,0,0
1,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,1.1165,7,50,0,7,0,0,0,43,43,41.02,23.24,0,0,NA,18514698.39,89012.97,0,0
2,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,1.033,13,43,0,13,0,0,0,30,30,41.02,23.24,1,20,1.036,12917231.43,62102.07,0,30000
3,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,1.0015,4,30,19,4,0,0,0,45,45,41.02,23.24,0,0,NA,19375847.15,93153.11,0,0
4,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.9749,3,45,0,3,0,0,0,42,42,41.02,23.24,0,0,NA,18084124.01,86942.9,0,0
5,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.9812,11,42,0,11,0,0,0,31,31,41.02,23.24,1,19,1.419,13347805.82,64172.14,0,30000
6,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,1.0013,5,31,18,5,0,0,0,44,44,41.02,23.24,0,0,NA,18945272.77,91083.04,0,0
7,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.9484,8,44,0,8,0,0,0,36,36,41.02,23.24,1,14,0.906,15500677.72,74522.49,0,30000
8,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.8729,9,36,13,9,0,0,0,40,40,41.02,23.24,1,10,2.249,17222975.25,82802.77,0,30000
9,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.857,10,40,0,10,0,0,0,30,40,41.02,23.24,1,10,0.909,12917231.43,62102.07,0,30000
10,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.8736,15,30,20,15,0,0,0,35,35,41.02,23.24,1,15,3.168,15070103.34,72452.42,0,30000
11,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.8945,6,35,0,6,0,0,0,29,44,41.02,23.24,0,0,NA,12486657.05,60032.01,0,0
12,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.8739,5,29,0,5,0,0,0,24,39,41.02,23.24,1,11,0.657,10333785.15,49681.66,0,30000
13,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.7408,4,24,26,4,0,0,0,46,46,41.02,23.24,0,0,NA,19806421.53,95223.18,0,0
14,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.7744,16,46,0,16,0,0,0,30,30,41.02,23.24,1,20,1.185,12917231.43,62102.07,0,30000
15,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.7893,9,30,20,9,0,0,0,41,41,41.02,23.24,1,9,1.996,17653549.63,84872.83,0,30000
16,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.8425,5,41,0,5,0,0,0,36,45,41.02,23.24,0,0,NA,15500677.72,74522.49,0,0
17,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.7996,6,36,9,6,0,0,0,39,39,41.02,23.24,1,11,0.96,16792400.87,80732.7,0,30000
18,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.8131,1,39,10,1,0,0,0,48,48,41.02,23.24,0,0,NA,20667570.3,99363.32,0,0
19,"EPP-FAC-003","Careta Electrónica para Soldar","Elementos de Protección Personal","EPP","Protección facial","unidad","A",0.98,8.8916,430574.38,0.279,597156.09,0.7712,2,48,0,2,0,0,0,46,46,41.02,23.24,0,0,NA,19806421.53,95223.18,0,0
